,SEQN,ACD011A,ACD011B,ACD011C,ACD040,ACD110
771,63265.0,1.0,,,,
772,63267.0,1.0,,,,
773,63268.0,,,,3.0,
774,63269.0,1.0,,,,
775,63271.0,,,,,5.0
776,63272.0,1.0,,,,
777,63273.0,1.0,,,,
778,63276.0,1.0,,,,
779,63277.0,1.0,,,,
780,63280.0,,,,,5.0
781,63281.0,,,,1.0,
782,63283.0,,,,,1.0
783,63284.0,1.0,,,,
784,63285.0,1.0,,,,
785,63287.0,1.0,,,,
786,63288.0,1.0,,,,
787,63290.0,1.0,8.0,,,
788,63291.0,1.0,,,,
789,63293.0,,,,5.0,
790,63294.0,1.0,,,,
791,63295.0,1.0,,,,
792,63296.0,,,,,1.0
793,63297.0,1.0,,,,
794,63298.0,,,,,5.0
795,63299.0,,,,4.0,
796,63301.0,1.0,,,,
797,63302.0,1.0,,,,
798,63304.0,1.0,,,,
799,63305.0,1.0,,,,
800,63306.0,,,,4.0,
801,63308.0,1.0,,,,
802,63310.0,1.0,,,,
803,63311.0,1.0,,,,
804,63312.0,1.0,,,,
805,63313.0,1.0,,,,
806,63315.0,,,,,2.0
807,63317.0,,,,,5.0
808,63318.0,1.0,,,,
809,63319.0,,,,,5.0
810,63320.0,,,,,4.0
811,63323.0,,,,,5.0
812,63324.0,,,,,1.0
813,63326.0,1.0,,,,
814,63327.0,1.0,,,,
815,63328.0,1.0,,,,
816,63329.0,1.0,,,,
817,63330.0,1.0,,,,
818,63331.0,1.0,,,,
819,63332.0,,,,4.0,
820,63333.0,1.0,,,,
821,63337.0,1.0,,,,
822,63338.0,1.0,,,,
823,63339.0,,,,,3.0
824,63340.0,1.0,,,,
825,63341.0,,,,,1.0
826,63343.0,1.0,,,,
827,63344.0,,,,1.0,
828,63345.0,1.0,,,,
829,63346.0,,,,1.0,
830,63347.0,,,,3.0,
831,63349.0,,,,,1.0
832,63350.0,1.0,,,,
833,63351.0,1.0,,,,
834,63352.0,1.0,,,,
835,63353.0,1.0,,,,
836,63356.0,,,,4.0,
837,63357.0,,,,1.0,
838,63360.0,1.0,,,,
839,63361.0,1.0,,,,
840,63362.0,1.0,,,,
841,63363.0,1.0,,,,
842,63364.0,1.0,,,,
843,63365.0,,,,1.0,
844,63371.0,1.0,,,,
845,63373.0,,,,,5.0
846,63374.0,1.0,,,,
847,63375.0,1.0,,,,
848,63377.0,1.0,,,,
849,63378.0,,,,3.0,
850,63380.0,1.0,,,,
851,63382.0,,,,1.0,
852,63383.0,1.0,,,,
853,63384.0,1.0,,,,
854,63385.0,1.0,,,,
855,63387.0,1.0,,,,
856,63388.0,,,9.0,,
857,63389.0,1.0,,,,
858,63390.0,1.0,,,,
859,63391.0,,,,4.0,
860,63392.0,1.0,,,,
861,63393.0,,,,2.0,
862,63394.0,,,,,5.0
863,63395.0,1.0,,,,
864,63396.0,1.0,,,,
865,63397.0,,,,,1.0
866,63398.0,,,,,5.0
867,63400.0,1.0,,,,
868,63401.0,1.0,,,,
869,63402.0,,,,,4.0
870,63404.0,1.0,,,,
871,63405.0,1.0,,,,
872,63406.0,1.0,,,,
873,63407.0,1.0,,,,
874,63409.0,1.0,,,,
875,63410.0,1.0,,,,
876,63411.0,1.0,,,,
877,63412.0,,,,1.0,
878,63413.0,1.0,,,,
879,63414.0,1.0,,,,
880,63415.0,1.0,,,,
881,63418.0,1.0,,,,
882,63420.0,1.0,,,,
883,63421.0,,,,,4.0
884,63422.0,,,,5.0,
885,63424.0,,,,4.0,
886,63425.0,,,,,3.0
887,63426.0,1.0,,,,
888,63428.0,,,,1.0,
889,63429.0,1.0,,,,
890,63431.0,,,,,1.0
891,63434.0,,,,,5.0
892,63435.0,,,9.0,,
893,63436.0,1.0,,,,
894,63437.0,1.0,,,,
895,63438.0,1.0,,,,
896,63439.0,,,,2.0,
897,63440.0,1.0,,,,
898,63442.0,1.0,,,,
899,63445.0,,,,5.0,
900,63446.0,1.0,,,,
901,63448.0,1.0,,,,
902,63449.0,,,,1.0,
903,63451.0,1.0,,,,
904,63453.0,,,,1.0,
905,63454.0,,,,,1.0
906,63455.0,1.0,,,,
